Date,Open,High,Low,Close,Adj Close,Volume
12/30/2016,118.779999,119.650002,118.720001,119.129997,112.137955,10613900
1/3/2017,118.410004,119.989998,118.18,119.639999,112.618042,13217300
1/4/2017,119.760002,120.239998,119.449997,120.099998,113.051025,6699600
1/5/2017,120.449997,122.029999,120.169998,121.980003,114.820694,13265800
1/6/2017,121.129997,121.540001,120.75,120.860001,113.766418,8369300
1/9/2017,121.879997,122,121.459999,121.830002,114.679497,8767700
1/10/2017,121.550003,121.910004,121.279999,121.75,114.604202,8417900
1/11/2017,121.940002,122.690002,121.410004,122.160004,114.990135,9402500
1/12/2017,122.800003,123.139999,121.830002,121.889999,114.73597,9977600
1/13/2017,121.330002,121.75,120.620003,121.309998,114.190018,9820000
1/17/2017,122.809998,122.940002,121.989998,122.580002,115.385498,7300100
1/18/2017,121.769997,121.959999,120.910004,121.010002,113.907623,9064700
1/19/2017,120.489998,120.580002,119.550003,120.18,113.126335,11795600
1/20/2017,119.839996,120.309998,119.290001,119.940002,112.900406,16953200
1/23/2017,120.339996,121.870003,120.019997,121.139999,114.029968,13118400
1/24/2017,120.769997,121.129997,119.800003,120.309998,113.248718,8395000
1/25/2017,119.279999,119.599998,118.559998,118.800003,111.827332,11115100
1/26/2017,118.910004,119.260002,118.330002,119.199997,112.203865,7827900
1/27/2017,119.400002,119.830002,119.25,119.629997,112.608604,7197800
1/30/2017,119.440002,119.879997,119.199997,119.269997,112.269753,6569500
1/31/2017,119.330002,120.400002,119.25,120.099998,113.051025,13298500
2/1/2017,119.099998,119.529999,118.580002,119.099998,112.351982,10975500
2/2/2017,119.93,120.139999,119,119.050003,112.304855,6978600
2/3/2017,119.440002,119.870003,118.470001,119,112.257698,10275600
2/6/2017,119.760002,120.129997,119.120003,119.720001,112.936905,8433800
2/7/2017,119.779999,121.010002,119.470001,120.599998,113.767014,8418400
2/8/2017,121.419998,122.269997,121.410004,122.239998,115.314125,15734200
2/9/2017,121.410004,121.589996,120.660004,120.830002,113.983986,16890600
2/10/2017,120.110001,120.949997,120.110001,120.760002,113.917969,7978500
2/13/2017,120.25,120.410004,119.879997,120.379997,113.559486,11536800
2/14/2017,120.239998,120.300003,118.830002,119.510002,112.738792,12575600
2/15/2017,118.760002,119.220001,118.650002,118.959999,112.21994,8481000
2/16/2017,119.220001,120.209999,119.120003,119.610001,112.833122,10005800
2/17/2017,120.610001,120.699997,120.129997,120.32,113.502869,7886400
2/21/2017,119.68,120.610001,119.599998,120.110001,113.304771,8703800
2/22/2017,120.800003,120.82,119.589996,120.309998,113.493446,8101500
2/23/2017,120.57,120.739998,120.330002,120.669998,113.833069,5330800
2/24/2017,121.349998,122.139999,121.260002,122.010002,115.097145,11336000
2/27/2017,121.809998,121.900002,121.230003,121.290001,114.417923,11039800
2/28/2017,121.5,122.080002,121.32,121.739998,114.842438,8410500
3/1/2017,119.440002,119.550003,118.949997,119.470001,112.918106,10717100
3/2/2017,119.010002,119.209999,118.620003,119.040001,112.511688,8201200
3/3/2017,119.230003,119.349998,118.550003,119.349998,112.80468,9515200
3/6/2017,119.120003,119.120003,118.519997,118.779999,112.265938,4489200
3/7/2017,118.480003,118.68,118.25,118.419998,111.925674,7080100
3/8/2017,117.309998,117.949997,117.230003,117.779999,111.320778,11336300
3/9/2017,117.339996,117.480003,116.769997,116.839996,110.432327,10575400
