Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,156.559998,158.529999,156.169998,158.490005,156.876572,32573300
2018-01-03,158.639999,160.169998,158.610001,160.029999,158.400879,29383600
2018-01-04,160.580002,160.789993,160.080002,160.309998,158.678024,24776100
2018-01-05,161.070007,162.029999,160.770004,161.919998,160.271652,26992300
2018-01-08,161.919998,162.630005,161.860001,162.550003,160.895233,23159100
2018-01-09,162.869995,163.039993,162.070007,162.559998,160.905121,24782400
2018-01-10,161.839996,162.210007,161.119995,162.179993,160.528976,34004000
2018-01-11,162.460007,163.300003,162.210007,163.289993,161.627701,20473500
2018-01-12,163.149994,164.660004,162.940002,164.490005,162.815491,37762700
2018-01-16,165.580002,166.419998,163.529999,164.020004,162.350266,41231800
2018-01-17,164.800003,166.039993,164.000000,165.789993,164.102234,33586200
2018-01-18,165.529999,166.199997,165.139999,165.820007,164.131958,26432200
2018-01-19,166.309998,166.610001,165.539993,166.339996,164.646652,38937600
2018-01-22,166.279999,168.119995,166.089996,168.119995,166.408524,26081400
2018-01-23,168.639999,169.660004,168.559998,169.509995,167.784363,37989700
2018-01-24,169.869995,170.240005,167.440002,168.410004,166.695587,54287400
2018-01-25,169.570007,169.630005,167.809998,168.350006,166.636200,28925000
2018-01-26,169.289993,170.949997,168.960007,170.929993,169.189896,32038200
2018-01-29,170.570007,170.910004,169.740005,170.100006,168.368378,37277800
2018-01-30,168.550003,169.419998,167.820007,168.699997,166.982620,44987700
2018-01-31,169.649994,169.990005,168.339996,169.399994,167.675491,42449200
2018-02-01,168.100006,169.729996,167.419998,167.960007,166.250153,38037900
2018-02-02,167.300003,167.699997,164.470001,164.610001,162.934250,68478100
2018-02-05,163.070007,165.750000,158.000000,158.119995,156.510330,105372200
2018-02-06,155.809998,162.509995,155.100006,162.309998,160.657684,118537900
2018-02-07,161.789993,163.550003,160.199997,160.210007,158.579071,91028300
2018-02-08,160.619995,160.800003,153.449997,153.449997,151.887863,94184800
2018-02-09,155.619995,157.240005,150.130005,156.100006,154.510880,113836600
2018-02-12,157.699997,159.949997,156.460007,158.869995,157.252686,63050600
2018-02-13,157.960007,160.009995,157.720001,159.690002,158.064346,31785600
