Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,126.489998,126.510002,125.070000,125.489998,121.112915,16238200
2018-01-03,126.000000,126.199997,125.489998,126.089996,121.691994,8605100
2018-01-04,125.650002,126.160004,125.370003,126.070000,121.672699,9217900
2018-01-05,125.870003,126.180000,125.360001,125.709999,121.325256,10915400
2018-01-08,125.989998,126.029999,125.169998,125.629997,121.248032,8850600
2018-01-09,124.809998,124.830002,123.809998,123.949997,119.626640,16226400
2018-01-10,122.809998,123.930000,122.660004,123.800003,119.481880,14302600
2018-01-11,123.510002,124.589996,123.309998,124.309998,119.974060,12511000
2018-01-12,124.099998,124.790001,123.910004,124.519997,120.176758,9987100
2018-01-16,125.169998,125.279999,124.559998,125.040001,120.678635,9125900
2018-01-17,125.080002,125.639999,124.599998,124.870003,120.514557,8305500
2018-01-18,123.930000,124.269997,123.540001,123.709999,119.395004,10843900
2018-01-19,123.400002,123.559998,122.980003,123.059998,118.767685,11374300
2018-01-22,123.449997,123.709999,122.989998,123.180000,118.883492,8984700
2018-01-23,123.809998,124.199997,123.239998,123.709999,119.395004,12325700
2018-01-24,122.849998,123.129997,122.540001,123.040001,118.748390,9038900
2018-01-25,123.160004,124.150002,122.800003,124.050003,119.723167,12173300
2018-01-26,123.879997,123.910004,123.099998,123.589996,119.279190,6462900
2018-01-29,122.970001,122.970001,122.300003,122.730003,118.449211,12223000
2018-01-30,122.279999,122.370003,121.699997,122.010002,117.754295,12064400
2018-01-31,122.870003,122.930000,121.940002,122.730003,118.449211,18045100
2018-02-01,122.480003,122.529999,120.629997,120.699997,116.732552,18632800
2018-02-02,120.150002,120.260002,119.239998,119.580002,115.649361,23944400
2018-02-05,119.169998,121.820000,118.639999,120.709999,116.742210,28606200
2018-02-06,120.419998,120.870003,119.720001,119.959999,116.016876,10935400
2018-02-07,120.129997,120.330002,118.559998,118.820000,114.914337,16271100
2018-02-08,118.010002,119.180000,117.849998,118.690002,114.788620,15155100
2018-02-09,118.110001,119.089996,117.790001,117.940002,114.063278,15661600
2018-02-12,118.559998,119.300003,118.190002,118.459999,114.566177,10944600
2018-02-13,118.610001,119.010002,118.389999,118.989998,115.078758,8157600
2018-02-14,118.459999,118.540001,117.470001,117.669998,113.802124,12043300
2018-02-15,118.190002,118.800003,117.989998,118.070000,114.188995,8222400
2018-02-16,119.040001,119.209999,118.339996,118.709999,114.807968,8454100
2018-02-20,118.279999,118.510002,117.779999,118.190002,114.305061,8268800
2018-02-21,118.239998,118.290001,116.510002,116.739998,112.902710,12054300
2018-02-22,117.239998,117.660004,117.000000,117.089996,113.241211,9317900
2018-02-23,117.879997,118.309998,117.720001,118.129997,114.247017,9072900
2018-02-26,118.680000,118.910004,118.040001,118.169998,114.285713,8771600
2018-02-27,118.519997,118.660004,117.260002,118.000000,114.121292,12525700
2018-02-28,118.470001,118.830002,118.250000,118.750000,114.846642,9311600
2018-03-01,118.430000,119.620003,118.150002,119.320000,115.630623,12287700
2018-03-02,118.849998,118.930000,118.120003,118.349998,114.690613,10064300
2018-03-05,118.750000,118.800003,117.629997,118.029999,114.380524,5658200
2018-03-06,118.360001,118.680000,118.120003,118.139999,114.487106,5452000
2018-03-07,118.570000,118.680000,117.959999,118.010002,114.361130,4461800
2018-03-08,118.309998,118.989998,118.260002,118.690002,115.020111,7086700
2018-03-09,117.989998,118.269997,117.589996,117.910004,114.264206,6570400
2018-03-12,118.309998,118.660004,118.190002,118.589996,114.923187,5801300
2018-03-13,118.309998,119.370003,118.190002,119.190002,115.504646,7455300
2018-03-14,119.400002,120.400002,119.370003,120.239998,116.522179,10175000
2018-03-15,120.169998,120.489998,119.930000,120.239998,116.522179,6757900
2018-03-16,119.800003,120.010002,119.550003,119.809998,116.105469,6084300
2018-03-19,119.209999,119.970001,119.199997,119.430000,115.737228,8491200
2018-03-20,118.910004,119.220001,118.830002,118.949997,115.272064,5446000
2018-03-21,118.660004,119.419998,118.110001,119.080002,115.398048,9742400
2018-03-22,120.309998,120.820000,119.669998,120.260002,116.541565,12136600
2018-03-23,119.680000,120.309998,119.620003,120.169998,116.454338,7250400
2018-03-26,120.000000,120.449997,119.669998,119.709999,116.008568,8237900
2018-03-27,119.830002,121.120003,119.809998,120.989998,117.248985,9168500
2018-03-28,121.449997,121.639999,120.949997,121.309998,117.559097,7412500
2018-03-29,121.540001,122.290001,121.510002,121.900002,118.130844,9694300
2018-04-02,121.349998,122.360001,121.160004,121.879997,118.363907,12036500
2018-04-03,121.360001,121.480003,120.830002,120.940002,117.451042,9855000
2018-04-04,121.349998,121.459999,120.599998,120.690002,117.208267,6654300
2018-04-05,120.099998,120.269997,119.769997,119.790001,116.334213,7603700
2018-04-06,120.660004,121.150002,120.220001,121.099998,117.606422,8831200
2018-04-09,120.639999,121.300003,120.349998,121.300003,117.800652,6307500
2018-04-10,121.199997,121.379997,120.779999,121.080002,117.587021,6046000
2018-04-11,121.849998,121.889999,121.269997,121.510002,118.004601,5901300
2018-04-12,121.040001,121.070000,120.410004,120.620003,117.140282,6622800
2018-04-13,120.519997,121.129997,120.500000,120.900002,117.412216,4964000
2018-04-16,120.230003,120.970001,120.180000,120.940002,117.451042,4491300
2018-04-17,120.919998,121.580002,120.820000,121.269997,117.771507,5590400
2018-04-18,121.290001,121.339996,120.279999,120.300003,116.829521,8138400
2018-04-19,119.419998,119.529999,118.809998,119.320000,115.877777,9875800
2018-04-20,118.889999,119.129997,118.430000,118.459999,115.042595,7579400
2018-04-23,118.330002,118.620003,118.080002,118.489998,115.071724,7073200
2018-04-24,118.209999,118.449997,117.760002,117.949997,114.547287,8190800
2018-04-25,117.410004,117.650002,116.940002,117.160004,113.780098,6603800
2018-04-26,117.730003,118.129997,117.589996,117.980003,114.576447,6528600
2018-04-27,118.470001,118.949997,118.440002,118.889999,115.460182,5401800
2018-04-30,119.080002,119.559998,118.940002,119.099998,115.664124,8321100
2018-05-01,118.769997,118.839996,118.230003,118.410004,115.247559,7979200
2018-05-02,118.639999,118.870003,118.260002,118.279999,115.121040,4644000
2018-05-03,118.839996,119.309998,118.680000,118.809998,115.636864,6345300
2018-05-04,119.230003,119.230003,118.489998,118.989998,115.812073,4283500
2018-05-07,118.970001,119.019997,118.739998,118.800003,115.627136,3647800
2018-05-08,118.550003,119.000000,118.300003,118.690002,115.520073,6091200
2018-05-09,118.120003,118.419998,117.980003,117.980003,114.829048,7832500
2018-05-10,118.550003,118.980003,118.349998,118.930000,115.753670,7101500
2018-05-11,119.320000,119.360001,118.820000,119.230003,116.045670,4273400
2018-05-14,118.800003,118.989998,118.589996,118.599998,115.432487,4996200
2018-05-15,117.559998,117.580002,116.699997,117.250000,114.118530,12901000
2018-05-16,117.419998,117.529999,116.790001,116.800003,113.680557,6518000
2018-05-17,116.629997,116.820000,116.089996,116.209999,113.106308,7330300
2018-05-18,116.510002,117.290001,116.510002,117.209999,114.079605,9606500
2018-05-21,117.129997,117.379997,116.949997,117.269997,114.137993,4448500
2018-05-22,117.290001,117.349998,116.849998,117.089996,113.962799,4700700
2018-05-23,117.750000,118.110001,117.660004,117.940002,114.790100,9404400
2018-05-24,118.690002,119.059998,118.639999,118.879997,115.705002,8204100
2018-05-25,119.559998,119.839996,119.470001,119.620003,116.425247,8482800
2018-05-29,120.790001,122.519997,120.430000,122.239998,118.975273,21668100
2018-05-30,121.000000,121.480003,120.739998,121.419998,118.177170,11616300
2018-05-31,121.559998,121.980003,120.949997,121.220001,117.982506,10769900
2018-06-01,120.169998,120.709999,119.849998,120.300003,117.359138,8718800
2018-06-04,120.110001,120.139999,119.370003,119.430000,116.510391,7156500
2018-06-05,119.959999,120.160004,119.620003,119.709999,116.783539,5635900
2018-06-06,119.080002,119.099998,118.419998,118.739998,115.837257,7813300
2018-06-07,118.690002,120.489998,118.680000,119.889999,116.959152,13238300
2018-06-08,119.559998,119.849998,119.440002,119.529999,116.607948,6790600
2018-06-11,119.070000,119.389999,118.940002,119.309998,116.393326,6844200
2018-06-12,118.930000,119.459999,118.889999,119.339996,116.422607,6048200
2018-06-13,119.449997,119.639999,118.629997,119.279999,116.364059,8834700
2018-06-14,119.779999,120.300003,119.480003,120.269997,117.329865,10078800
2018-06-15,120.830002,121.089996,120.300003,120.379997,117.437164,7992800
2018-06-18,120.480003,120.559998,120.040001,120.269997,117.329865,4893700
2018-06-19,120.970001,121.230003,120.699997,120.970001,118.012764,6133300
2018-06-20,120.769997,120.790001,119.900002,119.910004,116.978661,6879100
2018-06-21,120.360001,120.750000,120.220001,120.540001,117.593262,7235800
2018-06-22,120.089996,120.620003,120.059998,120.529999,117.583504,4082500
2018-06-25,120.660004,121.110001,120.639999,120.800003,117.846924,8363700
2018-06-26,120.769997,121.029999,120.660004,120.970001,118.012764,5450000
2018-06-27,121.750000,122.180000,121.550003,122.110001,119.124863,8173400
2018-06-28,122.129997,122.250000,121.830002,122.139999,119.154152,7109500
2018-06-29,122.169998,122.500000,121.650002,121.720001,118.744408,11164700
2018-07-02,121.739998,121.750000,121.290001,121.349998,118.651512,9662000
2018-07-03,121.529999,122.029999,121.529999,122.000000,119.287071,3808800
2018-07-05,122.059998,122.529999,122.010002,122.349998,119.629280,3860400
2018-07-06,122.750000,122.919998,122.480003,122.750000,120.020393,4679900
2018-07-09,122.070000,122.209999,121.900002,121.959999,119.247963,5952700
2018-07-10,121.870003,122.129997,121.809998,121.949997,119.238190,5759700
2018-07-11,122.449997,122.550003,122.089996,122.419998,119.697739,6869100
2018-07-12,122.169998,122.470001,122.139999,122.410004,119.687958,4824700
2018-07-13,122.610001,122.870003,122.470001,122.720001,119.991074,4079000
