,Time-SLSQP,Time-Random,Sharpe-SLSQP,Sharpe-Random,Risk-SLSQP,Risk-Random,Stocks-SLSQP,Stocks-Random,Restart-SLSQP,Restart-Random
50,0.29,25.12,8.4,10.2,0.15,0.129,20,20,0,1
100,1.93,46.03,35.91,19.85,0.15,0.094,24,20,0,1
250,8.22,82.73,115.57,91.185,0.15,0.142,23,20,0,2
500,22.44,547.76,178.55,66.64,0.15,0.142,23,20,0,1
1000,86.18,931.14,102.37,20.33,0.646,0.0906,21,20,0,0
2000,935.36,1155.18,2207.14,196.71,0.673,0.092,21,20,0,1
3300,4617.28,3105.94,20524,73.53,1.561,0.093,21,20,0,0
5000,18110.92,3969.54,144482,61,2.944,0.094,21,20,0,0
